Image_name,image_url,alt_text,model
obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,Moss growing on lichen.,llava
obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,Slug feeding on green moss.,llava
obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,"Clam in open shell, partially submerged.",llava
obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,Bird with orange feet eating fish.,llava
obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,"""Person holding a leaf that has been eaten by insects.""",llava
obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,Leaves with visible insect damage.,llava
obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,The leaves are infested with insects.,llava
obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,Slug on plant leaf.,llava
obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,Oyster shell on sandy shore.,llava
obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,An open-mouthed seagull eating a sea anemone.,llava
obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,Red flower with multiple layers of petals.,llava
obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,Plants growing in the cracks of a sidewalk.,llava
obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,Shellfish in a river.,llava
obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,Dead leaves are feeding on tree.,llava
obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,Leaf with spots feeding on plant,llava
obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,A butterfly is perched on a yellow flower.,llava
obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,Bee on a purple flower.,llava
obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,A large fly preys on a small crustacean in water.,llava
obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,Moss feeds on wood.,llava
obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,A frog eating a bug.,llava
obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,No animals are feeding in the image.,llava
obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,"A bird, perched on a tree branch, is eating something off the ground.",llava
obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,Bird droppings on the grass.,llava
obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,Bird is feeding on insect.,llava
obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,Aphids are eating the leaves.,llava
obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,Aphid is consuming a leaf.,llava
obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,Aphid eating a leaf.,llava
obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,Bee feeds on purple wildflowers.,llava
obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,Bee pollinating wildflowers.,llava
obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,Crane feeding on small pond.,llava
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,Duck feeding on water,llava
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,"Dark brown kelp and red algae cover rocks in an intertidal zone, with no visible animals feeding.",gemini-2.5-flash
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,A seagull feeds on a starfish on a paved surface.,gemini-2.5-flash
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,A leech feeding on a fish.,gemini-2.5-flash
obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,"An insect has fed on a brown plant gall, leaving a bubbly, clear substance inside its cavity.",gemini-2.5-flash
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,"A dark, slug-like creature is feeding on a snail.",gemini-2.5-flash
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,A sea anemone feeds on a sunfish caught in its tentacles.,gemini-2.5-flash
obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,A dark flatworm is feeding on a brown slug.,gemini-2.5-flash
obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,A fuzzy insect with patterned wings feeds on the underside of a bright green leaf.,gemini-2.5-flash
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,"A bird feeds on a large, reddish marine mollusk.",gemini-2.5-flash
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,A nudibranch feeds on colonial sea squirts.,gemini-2.5-flash
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,"A pale, segmented larva is feeding on green plant leaves.",gemini-2.5-flash
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,"A spider's web on a rough surface, trapping small particles as food.",gemini-2.5-flash
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,A seagull swallowing a purple starfish.,gemini-2.5-flash
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,A reddish-brown predatory flatworm is engulfing a moth on a green stem.,gemini-2.5-flash
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,A millipede feeds on decaying matter on the forest floor.,gemini-2.5-flash
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,White scale insects feeding on a green leaf.,gemini-2.5-flash
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,Predatory snails drilled into these mollusk shell fragments.,gemini-2.5-flash
obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,An organism inside a brown gall is feeding on the tree branch.,gemini-2.5-flash
obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,Orange rust fungus is feeding on a green leaf.,gemini-2.5-flash
obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,A male Common Eider duck eating a sea urchin.,gemini-2.5-flash
obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,A brown parasitic gall feeds on a juniper branch with blue berries.,gemini-2.5-flash
obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,A ladybug feeds on mealybugs.,gemini-2.5-flash
obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,"A fungus is feeding on green leaves, causing numerous dark brown spots and browning edges.",gemini-2.5-flash
obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,"A dark, bumpy fungal infection is feeding on a yellow autumn leaf.",gemini-2.5-flash
obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,"A sea anemone feeds on a small, iridescent fish.",gemini-2.5-flash
obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,"A leaf disease is feeding on the green leaves, causing yellowing and dark brown spots.",gemini-2.5-flash
obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,A yellow slug feeds on a mushroom.,gemini-2.5-flash
obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,A slug feeds on a deceased newt on sandy ground.,gemini-2.5-flash
obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,Bright yellow lichen appears to be feeding on and spreading over a pale lichen and green moss.,gemini-2.5-flash
obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,A translucent sea snail feeds on a white sea anemone amidst pink coral-like growth.,gemini-2.5-flash
obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,Small fungi feeding on a dried leaf.,gemini-2.5-flash
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,"A dark, shiny ribbon worm feeds on a light-colored mollusk.",gemini-2.5-flash
obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,Pinkish-red lichen parasite growing on grey-green lichens.,gemini-2.5-flash
obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,Velvet worms feeding on a woodlouse.,gemini-2.5-flash
obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,A red sea star is feeding on a conch inside its shell.,gemini-2.5-flash
obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,A Black Oystercatcher feeds on a purple sea urchin.,gemini-2.5-flash
obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,Leaf rust is feeding on the green leaf.,gemini-2.5-flash
obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,White powdery mildew feeds on a green leaf.,gemini-2.5-flash
obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,"A pale, slug-like larva feeds on a textured green leaf.",gemini-2.5-flash
obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,A brown-shelled snail feeds on a green leaf.,gemini-2.5-flash
obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,"A small bivalve is filter feeding while attached to a larger, tar-covered bivalve shell.",gemini-2.5-flash
obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,A seagull is eating a starfish.,gemini-2.5-flash
obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,"Tiny insects feed on the vibrant pink, brush-like flower.",gemini-2.5-flash
obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,"A small green shrub covered in numerous galls, indicating insect feeding.",gemini-2.5-flash
obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,"A dark mollusc feeds on a large, spotted snail underwater.",gemini-2.5-flash
obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,"Fungus feeds on a plant, creating dark spots on its green leaves.",gemini-2.5-flash
obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,"A green leaf with dark fungal spots and ragged edges, indicating it has been fed upon by disease and an insect.",gemini-2.5-flash
obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,An orange-brown butterfly sips nectar from yellow flowers.,gemini-2.5-flash
obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,An orange butterfly drinks nectar from purple flowers.,gemini-2.5-flash
obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,A water strider feeds on a bee on the water's surface.,gemini-2.5-flash
obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,"A brown, fuzzy insect gall hangs from a thorny plant stem.",gemini-2.5-flash
obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,A larger frog is swallowing a smaller frog.,gemini-2.5-flash
obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,"A hawk feeds on yellow prey, its beak stained red.",gemini-2.5-flash
obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,"A hawk feeds on a squirrel, gripping it with its talons on a mossy branch.",gemini-2.5-flash
obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,A hawk with a bloody beak feeds on a smaller bird.,gemini-2.5-flash
obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,A bird feeding on a crab.,gemini-2.5-flash
obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,"White, fuzzy insects are feeding on a green leaf.",gemini-2.5-flash
obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,"An adult whitefly and nymphs, surrounded by white waxy filaments, feed on a green leaf.",gemini-2.5-flash
obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,"A tiny pale insect feeds on a black, white-fringed insect on a green leaf.",gemini-2.5-flash
obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,A bee feeds on a purple flower.,gemini-2.5-flash
obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,A honeybee feeds on a yellow flower.,gemini-2.5-flash
obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,A Great Egret holds a dark rodent in its beak.,gemini-2.5-flash
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,"A Bufflehead duck feeds on a large, segmented worm.",gemini-2.5-flash
