Image_name,image_url,alt_text,model
obs_1135272_photo_1427749,https://inaturalist-open-data.s3.amazonaws.com/photos/1427749/medium.jpg,"A horsefly with large, iridescent green eyes bites into hairy human skin.",gemini-3.5-flash
obs_158540087_photo_273987410,https://inaturalist-open-data.s3.amazonaws.com/photos/273987410/medium.jpeg,"An extreme close-up of a parasitic fungus feeding on a black and yellow wasp, with pale, spindly structures sprouting from the insect's head and thorax.",gemini-3.5-flash
obs_196330872_photo_346192098,https://inaturalist-open-data.s3.amazonaws.com/photos/346192098/medium.jpg,A yellow-stalked parasitic fungus growing out of and feeding on a dirt-covered truffle held in a hand.,gemini-3.5-flash
obs_196670458_photo_346191865,https://inaturalist-open-data.s3.amazonaws.com/photos/346191865/medium.jpg,"A tiny, blue-green elf cup fungus feeding on a small piece of decaying wood held between a person's fingers.",gemini-3.5-flash
obs_237464244_photo_422619154,https://inaturalist-open-data.s3.amazonaws.com/photos/422619154/medium.jpeg,A black spot fungus feeds on the green leaves of a branch held in a person's hand.,gemini-3.5-flash
obs_240919750_photo_429301377,https://static.inaturalist.org/photos/429301377/medium.jpeg,"A fungal infection feeding on the green leaves of a small plant, leaving behind brown spots and decayed patches.",gemini-3.5-flash
obs_259827808_photo_466497337,https://inaturalist-open-data.s3.amazonaws.com/photos/466497337/medium.jpg,"A parasitic fungus feeding on a spiky green leaf, leaving brown and black necrotic lesions.",gemini-3.5-flash
obs_265566924_photo_477032615,https://inaturalist-open-data.s3.amazonaws.com/photos/477032615/medium.jpg,"A white powdery mildew fungus covering and feeding on the curled, distorted green leaves of a young peach plant.",gemini-3.5-flash
obs_265572849_photo_477040617,https://inaturalist-open-data.s3.amazonaws.com/photos/477040617/medium.jpeg,White powdery mildew grows and feeds on the jagged green leaves of a wild lettuce plant.,gemini-3.5-flash
obs_265640762_photo_477174548,https://inaturalist-open-data.s3.amazonaws.com/photos/477174548/medium.jpeg,"Leaf miner larvae feed on a broad green leaf, leaving winding, squiggly tunnels across its surface.",gemini-3.5-flash
obs_266997708_photo_479763789,https://inaturalist-open-data.s3.amazonaws.com/photos/479763789/medium.jpg,A dark purple-brown fungus spreading across and feeding on the surface of a green leaf.,gemini-3.5-flash
obs_266997709_photo_479761706,https://inaturalist-open-data.s3.amazonaws.com/photos/479761706/medium.jpg,White powdery mildew coats and feeds on the green leaves of a hanging plant branch.,gemini-3.5-flash
obs_268665319_photo_482954075,https://inaturalist-open-data.s3.amazonaws.com/photos/482954075/medium.jpeg,A person's open hand holds two green leaves with brown blotches caused by leaf-mining larvae feeding on the inner tissue.,gemini-3.5-flash
obs_270933734_photo_487302713,https://inaturalist-open-data.s3.amazonaws.com/photos/487302713/medium.jpg,A close-up of black spot fungus feeding on the tissue of a green leaf.,gemini-3.5-flash
obs_279311227_photo_501548575,https://inaturalist-open-data.s3.amazonaws.com/photos/501548575/medium.jpeg,A white powdery mildew fungus feeding on the pinnate leaves of a plant held in a hand.,gemini-3.5-flash
obs_10041811_photo_13816548,https://inaturalist-open-data.s3.amazonaws.com/photos/13816548/medium.jpg,A snail with a patterned yellow-and-brown shell feeds on brown jelly fungi growing on a decaying log.,gemini-3.5-flash
obs_17397637_photo_26432327,https://inaturalist-open-data.s3.amazonaws.com/photos/26432327/medium.jpeg,"A cream-colored mushroom cap lies upside down on a bed of dry pine needles, which the fungal organism decomposes and feeds upon.",gemini-3.5-flash
obs_59536612_photo_95135384,https://inaturalist-open-data.s3.amazonaws.com/photos/95135384/medium.jpg,"A white mushroom growing out of a decaying tree log, feeding on the decomposing wood.",gemini-3.5-flash
obs_84804335_photo_139427301,https://inaturalist-open-data.s3.amazonaws.com/photos/139427301/medium.jpeg,"Yellow rust fungus feeds on a large, green mayapple leaf, causing distinct yellow spots across its surface.",gemini-3.5-flash
obs_92804813_photo_153716790,https://inaturalist-open-data.s3.amazonaws.com/photos/153716790/medium.jpg,"A cluster of brown mushrooms growing in green grass, feeding on decomposing organic matter in the soil.",gemini-3.5-flash
obs_101993570_photo_170411108,https://inaturalist-open-data.s3.amazonaws.com/photos/170411108/medium.jpg,"A white mushroom held in a person's hand, its mycelium feeding on the organic matter in the soil clumped at its base.",gemini-3.5-flash
obs_105116439_photo_176295370,https://inaturalist-open-data.s3.amazonaws.com/photos/176295370/medium.jpeg,A dark brown slug feeds on the shiny cap of a yellow mushroom growing on a mossy tree trunk.,gemini-3.5-flash
obs_111640280_photo_188484692,https://inaturalist-open-data.s3.amazonaws.com/photos/188484692/medium.jpg,"A tortoise, partially visible at the top right, feeds on a white mushroom on ground covered with grass and dry leaves.",gemini-3.5-flash
obs_115944573_photo_195682488,https://inaturalist-open-data.s3.amazonaws.com/photos/195682488/medium.jpeg,"Large, brown-spotted shelf mushrooms grow on and feed on a decaying tree stump.",gemini-3.5-flash
obs_115973320_photo_195731919,https://inaturalist-open-data.s3.amazonaws.com/photos/195731919/medium.jpeg,"A dark, gelatinous slime mold grows on and decomposes dead brown grass on the ground.",gemini-3.5-flash
obs_145358980_photo_249659505,https://inaturalist-open-data.s3.amazonaws.com/photos/249659505/medium.jpeg,"A cluster of small, dark beetles feeds on the surface of a white bracket fungus growing on a tree trunk at night.",gemini-3.5-flash
obs_165338702_photo_205666783,https://inaturalist-open-data.s3.amazonaws.com/photos/205666783/medium.jpg,A black and olive-green slug feeds on a cluster of small tan mushrooms on the forest floor.,gemini-3.5-flash
obs_184932586_photo_322881815,https://inaturalist-open-data.s3.amazonaws.com/photos/322881815/medium.jpg,A cluster of inky cap mushrooms grows in and feeds on a bed of decaying wood chips.,gemini-3.5-flash
obs_188623382_photo_330189351,https://inaturalist-open-data.s3.amazonaws.com/photos/330189351/medium.jpeg,A slug feeding on the pink inner core of a gelatinous stinkhorn mushroom egg on the forest floor.,gemini-3.5-flash
obs_192308778_photo_337565887,https://inaturalist-open-data.s3.amazonaws.com/photos/337565887/medium.jpeg,"Two brown, speckled slugs feed on a pale, creamy fungus inside a damp tree cavity.",gemini-3.5-flash
obs_218648707_photo_386921148,https://inaturalist-open-data.s3.amazonaws.com/photos/386921148/medium.jpg,"Two grey slugs crawl on shelf fungi, feeding on the mushrooms amidst lush green moss.",gemini-3.5-flash
obs_234223527_photo_416351900,https://inaturalist-open-data.s3.amazonaws.com/photos/416351900/medium.jpeg,"A small, yellow-gilled mushroom with a slender brown stem feeding on a decaying pine needle at its base.",gemini-3.5-flash
obs_240344179_photo_428622047,https://static.inaturalist.org/photos/428622047/medium.jpeg,"A round, velvety yellow polypore fungus with a honeycomb-patterned underside feeds on a thin wooden twig.",gemini-3.5-flash
obs_63701886_photo_102279996,https://inaturalist-open-data.s3.amazonaws.com/photos/102279996/medium.jpeg,"A camouflaged caterpillar feeding on green moss, leaving behind piles of reddish-brown frass.",gemini-3.5-flash
obs_10686_photo_22224,https://static.inaturalist.org/photos/22224/medium.JPG,"A small brown mouse sits on dry straw, feeding on the bloody carcass of a dead bird.",gemini-3.5-flash
obs_338604_photo_421440,https://inaturalist-open-data.s3.amazonaws.com/photos/421440/medium.jpg,"A streaked roadrunner stands on sandy ground, holding a small rodent in its beak.",gemini-3.5-flash
obs_414645_photo_521779,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,"A dark snake laid out on a wooden surface next to a long, pale eel-like fish that it preyed upon.",gemini-3.5-flash
obs_414707_photo_521820,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,"A dark-colored snake lying on a wooden surface next to a light-colored, worm-like caecilian it has preyed upon.",gemini-3.5-flash
obs_420386_photo_529902,https://inaturalist-open-data.s3.amazonaws.com/photos/529902/medium.jpg,"A black-and-white speckled snake coiled on dry fallen leaves, constricting and swallowing another yellowish-brown snake.",gemini-3.5-flash
obs_424251_photo_534568,https://inaturalist-open-data.s3.amazonaws.com/photos/534568/medium.jpg,"A large black and yellow spider hangs from its web, feeding on a small lizard wrapped in silk.",gemini-3.5-flash
obs_465679_photo_587403,https://inaturalist-open-data.s3.amazonaws.com/photos/587403/medium.jpg,A wet otter perched on a log feeds on a small fish held in its paws.,gemini-3.5-flash
obs_503139_photo_640325,https://inaturalist-open-data.s3.amazonaws.com/photos/640325/medium.jpg,"A striped snake on dry, leafy ground, swallowing a frog with its pale legs protruding from its mouth.",gemini-3.5-flash
obs_509046_photo_649315,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,A dissected snake is shown above a tray displaying numerous nestling birds recovered from its stomach.,gemini-3.5-flash
obs_518909_photo_661138,https://inaturalist-open-data.s3.amazonaws.com/photos/661138/medium.JPG,A textured brown chameleon on desert sand prepares to feed on a small black insect.,gemini-3.5-flash
obs_746116_photo_938004,https://inaturalist-open-data.s3.amazonaws.com/photos/938004/medium.jpg,"A black-and-white speckled hornbill with a long, curved red bill perches on a rough tree trunk, reaching into a cavity to feed on a green and yellow insect.",gemini-3.5-flash
obs_770998_photo_968318,https://static.inaturalist.org/photos/968318/medium.jpg,A dark snake coiled in a metal nesting box stretches its jaws wide to swallow a large white egg.,gemini-3.5-flash
obs_843690_photo_1068150,https://inaturalist-open-data.s3.amazonaws.com/photos/1068150/medium.JPG,A large hippopotamus in muddy water clamps its jaws onto a crocodile's head.,gemini-3.5-flash
obs_893936_photo_1136774,https://inaturalist-open-data.s3.amazonaws.com/photos/1136774/medium.jpg,"An African wild dog lies on dry, grassy ground, feeding on the leg of its prey.",gemini-3.5-flash
obs_894002_photo_1136901,https://inaturalist-open-data.s3.amazonaws.com/photos/1136901/medium.jpg,A group of vultures feed on a carcass on the dry savanna ground while an African wild dog stands nearby watching.,gemini-3.5-flash
obs_1031674_photo_1294252,https://inaturalist-open-data.s3.amazonaws.com/photos/1294252/medium.jpg,The scavenged carcass of a horned goat-like animal lies torn open and partially buried in the dirt.,gemini-3.5-flash
obs_1031679_photo_1294271,https://inaturalist-open-data.s3.amazonaws.com/photos/1294271/medium.jpg,The partially eaten carcass of a deer lies on the muddy ground next to a grassy embankment.,gemini-3.5-flash
obs_1031728_photo_447010704,https://inaturalist-open-data.s3.amazonaws.com/photos/447010704/medium.jpg,The heavily scavenged carcass of a hairy wild boar lies on the dry ground with its skull and spine exposed.,gemini-3.5-flash
obs_1059442_photo_1328444,https://inaturalist-open-data.s3.amazonaws.com/photos/1328444/medium.jpg,Two lions on a sandy riverbank stalk a Cape buffalo standing in the tall grass.,gemini-3.5-flash
obs_1068273_photo_1339178,https://inaturalist-open-data.s3.amazonaws.com/photos/1339178/medium.jpg,A flock of vultures crowds around to feed on a large animal carcass in a grassy savanna.,gemini-3.5-flash
obs_1207646_photo_1525519,https://inaturalist-open-data.s3.amazonaws.com/photos/1525519/medium.jpg,A spotted cheetah sits amidst dry grass and branches with its mouth slightly open.,gemini-3.5-flash
obs_265204528_photo_476322668,https://inaturalist-open-data.s3.amazonaws.com/photos/476322668/medium.jpg,"A microscopic, spindle-shaped *Euglena* with a long flagellum, filled with bright green chloroplasts used to produce its own food through photosynthesis.",gemini-3.5-flash
obs_13376692_photo_19611761,https://inaturalist-open-data.s3.amazonaws.com/photos/19611761/medium.jpg,A green sea anemone covered in shell fragments swallowing a red crab in a rocky tide pool.,gemini-3.5-flash
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,"An orange-and-brown striped sea anemone on the sandy seabed feeds on a large white-and-grey fish, engulfing it with its pink tentacles.",gemini-3.5-flash
obs_201444841_photo_355603656,https://static.inaturalist.org/photos/355603656/medium.jpeg,A green sea anemone covered in shell fragments swallows a blue by-the-wind sailor on a rocky shoreline.,gemini-3.5-flash
obs_209619780_photo_358317954,https://inaturalist-open-data.s3.amazonaws.com/photos/358317954/medium.jpeg,"A light brown sea anemone on a sandy seabed, feeding on a captured pipefish held in its tentacles.",gemini-3.5-flash
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,A seagull standing on a wooden pier prepares to feed on a small starfish on the ground.,gemini-3.5-flash
obs_131953321_photo_224633498,https://inaturalist-open-data.s3.amazonaws.com/photos/224633498/medium.jpeg,"A close-up of a white seagull swallowing a bumpy, speckled starfish with its arms protruding from the bird's yellow beak.",gemini-3.5-flash
obs_138339520_photo_236424624,https://inaturalist-open-data.s3.amazonaws.com/photos/236424624/medium.jpeg,"Orange and purple starfish cling to a wet, rocky shore, feeding on a dense bed of black mussels.",gemini-3.5-flash
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,"A grey gull stands on a wet, sandy beach, preparing to feed on a reddish-orange sea cucumber lying in the shallow water.",gemini-3.5-flash
obs_231347606_photo_410882600,https://inaturalist-open-data.s3.amazonaws.com/photos/410882600/medium.jpeg,"A close-up of a grey gull with its beak wide open, swallowing an orange starfish with one of its arms protruding.",gemini-3.5-flash
obs_254357079_photo_455520435,https://inaturalist-open-data.s3.amazonaws.com/photos/455520435/medium.jpeg,A sea anemone with pale-green tentacles engulfs a purple sea urchin on the rocky seafloor.,gemini-3.5-flash
obs_254253124_photo_455372675,https://inaturalist-open-data.s3.amazonaws.com/photos/455372675/medium.jpeg,"A dead caterpillar hangs vertically from a glass window with a thin thread dangling below it, indicating a parasitic tachinid fly larva has fed on it from the inside.",gemini-3.5-flash
obs_4977021_photo_6076028,https://inaturalist-open-data.s3.amazonaws.com/photos/6076028/medium.jpg,A mottled brown octopus on a colorful coral reef wraps its tentacles around a captured fish.,gemini-3.5-flash
obs_10029654_photo_13795670,https://inaturalist-open-data.s3.amazonaws.com/photos/13795670/medium.jpg,A snail with a patterned yellow shell feeds on brown jelly fungus growing on a wooden log.,gemini-3.5-flash
obs_10042362_photo_13817684,https://inaturalist-open-data.s3.amazonaws.com/photos/13817684/medium.jpg,A brown-patterned slug stretches up from green grass to feed on the gills of a large mushroom.,gemini-3.5-flash
obs_13339379_photo_19546255,https://inaturalist-open-data.s3.amazonaws.com/photos/19546255/medium.jpg,"A mottled brown slug feeds on a textured, orange-brown fungus growing on a tree trunk.",gemini-3.5-flash
obs_13466689_photo_19770562,https://inaturalist-open-data.s3.amazonaws.com/photos/19770562/medium.jpg,"A white seagull stands on a seaweed-covered shore, feeding on a pink sea peach tunicate.",gemini-3.5-flash
obs_31967882_photo_50089860,https://static.inaturalist.org/photos/50089860/medium.jpeg,"A large, dark-shelled sea snail with a bright orange foot feeds on a striped clam on wet sand.",gemini-3.5-flash
obs_44675375_photo_70829028,https://inaturalist-open-data.s3.amazonaws.com/photos/70829028/medium.jpeg,A textured brown slug on a mossy log feeds on a bright pink slime mold.,gemini-3.5-flash
obs_62278764_photo_99765773,https://inaturalist-open-data.s3.amazonaws.com/photos/99765773/medium.jpeg,"A brown snail on dry grass, swallowing a small grey slug.",gemini-3.5-flash
obs_62498833_photo_100137946,https://inaturalist-open-data.s3.amazonaws.com/photos/100137946/medium.jpg,"A textured, yellowish-green slug feeds on decaying brown plant matter.",gemini-3.5-flash
obs_66194678_photo_106656672,https://inaturalist-open-data.s3.amazonaws.com/photos/106656672/medium.jpeg,A cluster of white maggots feeds on the decaying remains of a snail inside its broken shell on the ground.,gemini-3.5-flash
obs_69194931_photo_112223888,https://inaturalist-open-data.s3.amazonaws.com/photos/112223888/medium.jpg,"A small, pale brown snail resting on and feeding on a vibrant green leaf.",gemini-3.5-flash
obs_70879081_photo_115307880,https://inaturalist-open-data.s3.amazonaws.com/photos/115307880/medium.jpeg,"A grey and white seagull walks across a wet sandy beach, holding a clam in its beak.",gemini-3.5-flash
obs_102691689_photo_171703427,https://inaturalist-open-data.s3.amazonaws.com/photos/171703427/medium.jpeg,"A group of small, flat grey invertebrates feed on the fleshy, double-ringed yellow siphon of a clam buried in dark sand.",gemini-3.5-flash
obs_103403764_photo_173052489,https://inaturalist-open-data.s3.amazonaws.com/photos/173052489/medium.jpeg,A bright yellow banana slug feeds on the carcass of a black and white bird on rocky ground.,gemini-3.5-flash
obs_104446825_photo_175011125,https://inaturalist-open-data.s3.amazonaws.com/photos/175011125/medium.jpeg,"A textured yellow nudibranch feeds on a bright yellow encrusting sponge on dark, seaweed-covered rocks.",gemini-3.5-flash
obs_104676320_photo_175447610,https://inaturalist-open-data.s3.amazonaws.com/photos/175447610/medium.jpg,An adult moorhen with a red and yellow bill feeds a small morsel of food to its fuzzy black chick amidst green lily pads.,gemini-3.5-flash
obs_104685233_photo_175465159,https://inaturalist-open-data.s3.amazonaws.com/photos/175465159/medium.jpg,"A glossy black bird stands in green grass, holding a small snail in its beak.",gemini-3.5-flash
obs_105116597_photo_176295587,https://inaturalist-open-data.s3.amazonaws.com/photos/176295587/medium.jpeg,A small brown slug feeds on the glossy cap of a yellow mushroom growing from a mossy tree trunk.,gemini-3.5-flash
obs_108694701_photo_183043086,https://inaturalist-open-data.s3.amazonaws.com/photos/183043086/medium.jpeg,A sea otter floating in blue water eats from an open clam shell held in its paws.,gemini-3.5-flash
obs_108694703_photo_183043107,https://inaturalist-open-data.s3.amazonaws.com/photos/183043107/medium.jpeg,"A sea otter floating on its back in blue water feeds on a clam, holding food to its mouth with an open shell resting on its chest.",gemini-3.5-flash
obs_44675216_photo_70828695,https://inaturalist-open-data.s3.amazonaws.com/photos/70828695/medium.jpeg,"A cluster of pink, bulbous slime mold grows on and feeds on decaying wood in a patch of green moss.",gemini-3.5-flash
obs_255562660_photo_458008038,https://inaturalist-open-data.s3.amazonaws.com/photos/458008038/medium.jpg,"A tiny, bright orange larva feeds on a cluster of small, white spherical eggs on a mossy surface.",gemini-3.5-flash
obs_258568965_photo_463949052,https://inaturalist-open-data.s3.amazonaws.com/photos/463949052/medium.jpg,"A brown, lumpy fungus grows on a weathered grey tree stump, feeding on the decaying wood.",gemini-3.5-flash
obs_201303417_photo_355329004,https://inaturalist-open-data.s3.amazonaws.com/photos/355329004/medium.jpg,"A brown caddisfly clinging to a white textured wall, extruding a yellow, gelatinous egg mass from its abdomen.",gemini-3.5-flash
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,"A shiny, dark brown ribbon worm swallowing a segmented polychaete worm on a wet, algae-covered rock.",gemini-3.5-flash
obs_228958448_photo_406367945,https://static.inaturalist.org/photos/406367945/medium.jpeg,"A brown, streaked bird perched on a red and blue plastic feeder feeds on scattered birdseed.",gemini-3.5-flash
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,"Small limpets cling to and feed on the dark stipes of a feather boa kelp draped over wet, rocky ground.",gemini-3.5-flash
obs_9833518_photo_13465547,https://inaturalist-open-data.s3.amazonaws.com/photos/13465547/medium.jpg,"A speckled blue-grey velvet worm crawls on vibrant green moss, feeding on a small orange insect pupa.",gemini-3.5-flash
obs_112910966_photo_190755590,https://inaturalist-open-data.s3.amazonaws.com/photos/190755590/medium.jpeg,"A spiny, long-legged harvestman perched on a red fern frond feeds on a curled-up velvet worm.",gemini-3.5-flash
obs_130046716_photo_221096841,https://static.inaturalist.org/photos/221096841/medium.jpg,A white parasitic fungus grows over and feeds on a dark caterpillar resting on a textured green leaf.,gemini-3.5-flash
obs_131625336_photo_224021379,https://inaturalist-open-data.s3.amazonaws.com/photos/224021379/medium.jpg,"A dark, elongated land leech feeds on a striped dragonfly amidst rocks and dry leaves on the ground.",gemini-3.5-flash
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,A reddish-brown velvet worm perched on a thin green stem feeds on a captured dark-winged butterfly.,gemini-3.5-flash
obs_89418103_photo_147652109,https://inaturalist-open-data.s3.amazonaws.com/photos/147652109/medium.jpg,A glossy black flatworm coiled around and feeding on a bee on rocky ground.,gemini-3.5-flash
obs_163365136_photo_282538358,https://inaturalist-open-data.s3.amazonaws.com/photos/282538358/medium.jpg,Several white tapeworms crawl across and infest textured segments of brown animal feces.,gemini-3.5-flash
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,A dark brown flatworm on a stony surface feeds on a small snail with a spiral shell.,gemini-3.5-flash
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,A patterned white flatworm crawls over and feeds on a cluster of translucent sea squirts with orange openings.,gemini-3.5-flash
obs_263864256_photo_474104967,https://inaturalist-open-data.s3.amazonaws.com/photos/474104967/medium.jpeg,"A yellowish land planarian feeds on a small, dark snail on a patch of vibrant green moss.",gemini-3.5-flash
obs_104446822_photo_175010774,https://inaturalist-open-data.s3.amazonaws.com/photos/175010774/medium.jpeg,A dark purple nudibranch feeds on a yellow and green encrusting sponge on a wet rock.,gemini-3.5-flash
obs_138339505_photo_236420699,https://inaturalist-open-data.s3.amazonaws.com/photos/236420699/medium.jpeg,A yellow nudibranch perched on a rock feeds on a pink encrusting sponge.,gemini-3.5-flash
obs_673967_photo_848814,https://inaturalist-open-data.s3.amazonaws.com/photos/848814/medium.jpg,"A green Carolina scale-seed plant with slender, scaled spikes and delicate white flowers grows in dry, sandy soil.",gemini-3.5-flash
obs_1126540_photo_1416013,https://inaturalist-open-data.s3.amazonaws.com/photos/1416013/medium.jpg,"Based on the image provided, there are no visible insects, birds, or other animals feeding on the plant. 

An accurate description of the image is: 
**A close-up of a leafy green branch featuring bright yellow flowers and small green buds.**",gemini-3.5-flash
obs_1560560_photo_1932050,https://inaturalist-open-data.s3.amazonaws.com/photos/1932050/medium.jpg,A small green bird perched among the branches of a leafy tree feeds on a berry.,gemini-3.5-flash
obs_2425738_photo_2700767,https://inaturalist-open-data.s3.amazonaws.com/photos/2700767/medium.jpg,"Reddish carnivorous sundew plants grow in a wet, grassy bog, trapping and feeding on insects with their sticky leaves.",gemini-3.5-flash
obs_5128057_photo_6309771,https://inaturalist-open-data.s3.amazonaws.com/photos/6309771/medium.jpg,"A green leaf next to a purple flower shows lacy, skeletonized holes from insects feeding on its tissue.",gemini-3.5-flash
