Image_name,scientific_name,llava_alt_text
obs_337600645_photo_614526508,Strongylocentrotus purpuratus,Bird stands on rocks in front of water.
obs_337606242_photo_613762919,Puccinia polygoni-amphibii,"Leaf being held up, showing leaf with spots and holes."
obs_337610708_photo_613769550,Golovinomyces bolayi,An individual holding a leaf in their hand.
obs_337610714_photo_613769638,Erysiphe parvula,A hand holding an herbaceous plant leaf with several holes and a light green color.
obs_338007030_photo_614585734,Eobania vermiculata,Snail on the ground.
obs_338486970_photo_615576074,Spisula solidissima,"A photograph of a dark colored shell with ridged edges, placed on sandy surface."
obs_339993526_photo_618618071,Evasterias troschelii,"An anglerfish is shown with seaweed in its mouth, surrounded by bubbles that resemble the underwater environment where such creatures are found."
obs_340263466_photo_619175705,Cirsium ehrenbergii,This is an image of a plant.
obs_340271186_photo_619190124,Baccharis pilularis,Small green bush on sidewalk in urban area.
obs_340304697_photo_619256274,Haemopis grandis,This is a picture of a snail underwater.
obs_340326193_photo_619295159,Diospyros virginiana,"A photograph of a small wild plant with leaves and a stem, positioned on a bed of soil and plants with a dark background highlighting the plant."
obs_340326194_photo_619295158,Pseudocercospora fuliginosa,"Hand holding a leaf with spots, against a blurred background of plants."
obs_340337296_photo_536341964,Lotus corniculatus,A butterfly resting on yellow flowers in the sunny outdoors.
obs_340337865_photo_533753896,Vicia cracca,A butterfly on a fence with flowers in the background.
obs_340364592_photo_619375042,Aquarius najas,The creepy looking insect in the water.
obs_340368188_photo_619383348,Diplolepis rosae,A small reddish seed pod attached to the end of a branch.
obs_340433312_photo_619519266,Limnodynastes peronii,A frog with big eyes sitting in the middle of the road.
obs_340514309_photo_619678757,Buteo jamaicensis,This is a picture of a bird.
obs_340514310_photo_619679014,Sciurus carolinensis,Young eagle perched on branch.
obs_340542613_photo_619737737,Astur cooperii,"A hawk perched on the ground, possibly injured or tired."
obs_340825934_photo_620308797,Guira guira,Woodpecker pecking at dead wood.
obs_340848497_photo_620354560,Aleuroplatus coronata,A close-up photo of a leaf with insect eggs and larvae.
obs_340848514_photo_620354575,Paraleyrodes minei,Aphid on a leaf with honeydew crystals.
obs_340848746_photo_620355031,Tetraleurodes perileuca,Small insect on a green leaf with a white background.
obs_341060278_photo_547585371,Chamaenerion angustifolium,"A close-up photo of a purple flowering in a garden setting, with the focus on the vibrant petals and some insects visible on the leaves."
obs_341067936_photo_620805844,Apis mellifera,"A bee is perched on top of a yellow flower with stamens, set against the backdrop of green foliage and plants."
obs_341194952_photo_621071156,Ardea alba,Crane standing on a gravel road.
obs_64497720_photo_103704678,Alitta williami,Black and white bird sitting on the ground.
