Image_name,image_url,llava,Qwen3.5-397B-A17B,gemini-2.5-flash,claude-sonnet-4-6
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,This is an image of a caterpillar.,"A close-up view of a pale, segmented millipede curled around the tip of a green plant branch against a dark background.","A pale, segmented millipede with many visible legs is tightly coiled around a sprig of green foliage, contrasting with a dark, blurry background.",
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,Analyzing microscope slide with crystalline structure and circular shapes.,"A close-up macro shot of a rough, textured rock surface featuring earthy brown and gray tones with a small, dark indentation.","A macro shot reveals a rough, earthy surface with intricate textures, small holes, delicate webs, and shimmering iridescent reflections of blue, purple, and gold.",
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,"This is a sea bird with its mouth open, displaying its long purple tongue to eat the shellfish.",A close-up view of a juvenile gull holding a purple starfish in its open beak.,"A grey gull with its beak wide open is in the process of swallowing a large, bumpy purple starfish.",
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,"""A brown butterfly on red stems.""",,"A vivid orange-red slug-like creature is wrapped around a brown moth on a green stem, appearing to consume it, against a blurry natural background.",
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,A leaf on the ground with grass and dirt around it.,A reddish-brown centipede crawls across mossy ground amidst green grass blades and fallen leaves.,"A dark, segmented centipede crawls across a mossy forest floor, surrounded by vibrant green grass and scattered fallen leaves.",
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,The close-up photo of the green leaf with small insects and white spots on it.,"A close-up view of a green leaf surface featuring several small, raised, pale white galls or bumps.","A macro shot of a green leaf showing multiple light-colored, raised structures, including a prominent circular gall with a central opening.",
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,"""Seashells and coins found on the beach, showcasing natural beauty and financial exchange.""","A pile of small, broken seashells rests on coarse sand next to a penny for scale.","A small pile of light blue and dark shell fragments rests on coarse sand, with a 2019 U.S. penny in the upper right for scale.",
obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,"A close-up of a plant with brown branches and green leaves, set against a blurred background.","A close-up view of a rough, brown gall growing on the intersection of thin tree branches, surrounded by green leaves and a blurred forest floor.","A close-up shows a rough, brown growth on a woody branch at the point where several smaller branches diverge, with blurred green and yellow leaves and natural debris in the background.",
obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,"Close-up of an object with yellow and green areas on the right side, possibly indicating pollen or some kind of chemical reaction.","A close-up view of a green leaf covered in small, raised orange pustules characteristic of rust fungus.","A macro photo shows a green leaf speckled with numerous small, textured orange fungal growths.",
obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,An exotic bird with long beak is swimming in the ocean.,"A male Bufflehead duck with black and white plumage floats on choppy grey water, holding a reddish-brown object in its beak.","A male common eider duck floats on dark water, holding a reddish-brown sea urchin in its open beak.",
obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,Blueberries growing on branches in the photo.,"A close-up of a juniper branch featuring bright green foliage, small blue berries, and large, textured brown galls.","A close-up shows a juniper branch with green foliage, several dusty blue berries, and two distinct, lumpy reddish-brown galls.",
obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,A creepy crawly on a gray surface.,"A close-up of an orange ladybug with black spots clinging to a smooth grey surface near a vertical seam, holding a small, fuzzy brown object with its legs.","A close-up shows an orange ladybug with black markings on its head, standing over a light-colored, fuzzy parasitic wasp cocoon attached beneath its body, on a textured gray surface.",
obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,Leaf with green and yellow spots.,"A close-up of broad, yellow-green leaves covered in dark brown spots and decaying edges.","A close-up of green leaves covered in numerous dark brown spots and browning edges, set against a blurred background of autumn foliage.",
obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,Dead leaf with brown spots on it.,"A close-up of a yellowing leaf featuring a large, dark black spot of decay or fungal growth.","A close-up of a yellow autumn leaf with a large, irregular black patch that has a distinct bumpy texture, typical of tar spot disease.",
obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,An aquatic fish with unique green and gold scales.,"A small, silvery fish rests among the translucent, striped tentacles of a sea anemone attached to a rocky underwater surface.","A small, iridescent silvery-green fish is caught within the translucent, ring-like tentacles of a sea anemone against a murky, brown underwater background.",
obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,"This is a close-up photograph of plant leaves with spots and speckles, likely affected by some form of fungal or bacterial disease, set against a blurred background of vegetation.",A close-up view of a green leaf that is yellowing and covered in numerous dark brown spots.,"A close-up shows a green leaf with yellowed edges and many small dark brown spots, surrounded by blurred green and yellow leaves.",
obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,Mushroom growing on tree stump in forest.,"A bright yellow slug crawls across the wet, tan cap of a mushroom surrounded by green moss.","A vibrant yellow slug with visible eyestalks crawls over a light brown mushroom cap, which has a small dark twig resting on it, all surrounded by lush green moss.",
obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,A dead crayfish on the ground with red ants.,"A large, spotted slug crawls over the body of a deceased newt on a grey concrete surface.","An olive-brown slug feeds on a dead reddish-brown newt lying on sandy, gravelly ground.",
obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,This is an image of moss on a rock in nature.,"A close-up view of textured lichen featuring patches of crusty white, bright yellow granules, and pale green structures with small circular openings.","A detailed macro view shows vibrant yellow granular lichen, white crusty lichen, and light green lobed lichen with cup-like structures, growing closely together on a surface.",
obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,"""A close-up photograph of an octopus in its natural habitat.""","A close-up underwater shot of a pale, translucent nudibranch with feathery white appendages crawling over pink branching seaweed.","A translucent moon snail with an expansive white foot is seen next to a pale, frilly sea anemone, surrounded by pink branching coral and dark kelp on the ocean floor.",
obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,Small plant life on decaying wood.,"Close-up of tiny, delicate fungi with thin reddish stems and small yellow-orange caps growing on a textured surface.","A macro shot reveals several tiny fungi with slender dark stalks and small light brown caps emerging from a textured, dried plant surface.",
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,This is an image of a small worm with lots of eyes.,"A close-up of a shiny, dark brown marine worm resting on a textured, light-colored rocky surface.","A dark, reflective sea cucumber, featuring a distinct bulge, rests partially submerged in shallow water over light-colored rocks and green algae.",
obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,This is a photo of coral-like growth on a rock.,"A close-up of a rock surface densely covered in pale grey and green lichen, featuring numerous small, dark brown cup-like structures with light-colored rims.","A detailed close-up reveals intricate patterns of dark, cup-shaped lichens with pale rims, intertwined with light green leafy lichens and vibrant pink patches, all growing densely on textured tree bark.",
obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,"A close-up photo of an intriguing, rusted piece of metal with jagged edges in the foreground of a dark, damp environment.","Three dark, orange-spotted slugs crawl across damp, reddish-brown decaying wood and fibrous debris.",Multiple dark velvet worms with orange spots and stubby legs crawl among reddish-brown leaf litter and organic debris.,
obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,"Red and white shell with pinkish interior, half-opened, underwater.","A large, patterned seashell rests on the sandy seabed with a bright red worm visible inside its opening.","A large sea snail with a patterned brown and tan shell, revealing a reddish body, operculum, and striped foot, rests on a sandy seabed.",
obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,Bird stands on rocks in front of water.,A black oystercatcher with a bright red beak stands on a rocky shore scattered with purple sea urchins.,"A black oystercatcher with a bright red beak and pink legs stands on a rocky shore among purple sea anemones, sea urchins, and various seaweeds.",
obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,"Leaf being held up, showing leaf with spots and holes.",A hand holds a green leaf that is covered in small brown spots.,"A person's hand holds a green leaf covered in numerous reddish-brown spots, with a slender stem and small buds visible on the right against a blurry green background.",
obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,An individual holding a leaf in their hand.,A close-up of a hand holding a green leaf with serrated edges that is covered in patches of white powdery mildew and brown discoloration.,"A person's hand holds a green leaf covered in white, fuzzy patches of powdery mildew.",
obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,A hand holding an herbaceous plant leaf with several holes and a light green color.,A close-up shot shows a hand holding several textured green leaves with serrated edges.,"A hand gently holds a green leaf with a textured surface and serrated edges, surrounded by other blurry green foliage.",
obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,Snail on the ground.,A close-up of a snail with a glistening pale body and brown shell crawling along the edge of a textured green leaf.,A glistening grey snail with an extended body and brown shell crawls across a wet green leaf.,
obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,"A photograph of a dark colored shell with ridged edges, placed on sandy surface.","A large, oblong razor clam shell with distinctive tan and dark blue coloring rests on wet, gray sand near the water's edge.","A large, elongated bivalve shell, half light brown and half dark, shiny black, rests on wet, dark sand with small water bubbles.",
obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,"An anglerfish is shown with seaweed in its mouth, surrounded by bubbles that resemble the underwater environment where such creatures are found.","A close-up of a white seagull holding a large, spiky starfish in its open yellow beak.","A white seagull is consuming a large brown starfish, with several of the starfish's arms still visible outside its yellow beak.",
obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,This is an image of a plant.,"A vibrant close-up of a red flower head featuring intricate, thread-like filaments radiating outward against a soft, blurred green background.","A close-up shot captures the vibrant fuchsia, brush-like filaments of a flower head in sharp focus against a soft, blurred background.",
obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,Small green bush on sidewalk in urban area.,A leafy green plant with dried buds grows along the edge of a concrete sidewalk next to a yellow painted line and a larger evergreen shrub.,"A small, green shrub with numerous buds grows alongside a cracked asphalt road and a concrete sidewalk with a yellow line, beneath a larger evergreen plant.",
obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,This is a picture of a snail underwater.,"A close-up underwater shot captures a large, tan worm with black spots coiled on a murky, sandy bottom next to a piece of wood.","A yellow and black spotted snail with a dark, fleshy body emerging from its shell is seen underwater in murky, sandy conditions, with a stick nearby.",
obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,"A photograph of a small wild plant with leaves and a stem, positioned on a bed of soil and plants with a dark background highlighting the plant.","A leafy green shrub growing in a natural setting has foliage that is heavily covered in dark, speckled spots.","A close-up shot shows a leafy green plant whose foliage is heavily speckled with dark brown to black spots, indicating a common plant disease.",
obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,"Hand holding a leaf with spots, against a blurred background of plants.",A close-up view of a person's open hand holding a green leaf that is covered in numerous dark brown spots.,"A hand wearing a gold ring holds up a green leaf heavily covered in dark brown spots and with torn edges, against a blurry background of similar foliage.",
obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,A butterfly resting on yellow flowers in the sunny outdoors.,"A small, orange-brown skipper butterfly rests on a bright yellow flower surrounded by green leaves.",A small brown and orange butterfly is perched on bright yellow flowers surrounded by green leaves.,
obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,A butterfly on a fence with flowers in the background.,An orange skipper butterfly perches on a cluster of purple wildflowers against a backdrop of tall green grass and a wire fence.,An orange butterfly is perched on vibrant purple flowers against a blurred green background.,
obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,The creepy looking insect in the water.,"Two water striders with long, thin legs are floating on the surface of the water.","A brown water strider with long, thin legs floats on the water's surface, holding a smaller, lighter-colored insect as prey in its front legs.",
obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,A small reddish seed pod attached to the end of a branch.,"A close-up of a fuzzy, brown, mossy cluster hanging from a thin, thorny branch against a blurred background of green hills and trees.","A close-up shows a large, fluffy, reddish-brown gall on a thorny branch, with a blurred background of green hills, trees, and blue sky.",
obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,A frog with big eyes sitting in the middle of the road.,A small brown frog with dark stripes rests on a bed of grey rocks and scattered blades of grass.,"A wet, brown frog with dark markings sits on a bed of gravel and small rocks, surrounded by green grass blades and dry debris.",
obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,This is a picture of a bird.,"A close-up of a brown and white hawk standing next to a rough tree trunk, looking to the left with a yellow eye.","A brown and white hawk with a sharp yellow eye and a reddish mark on its hooked beak is perched against a rough tree trunk, looking to the left.",
obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,Young eagle perched on branch.,A hawk perched on a mossy tree branch grips a captured squirrel with its yellow talons.,"A hawk with yellowish talons firmly grips a bloody squirrel, its prey, on a moss-covered tree branch.",
obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,"A hawk perched on the ground, possibly injured or tired.","A brown and white streaked hawk stands on a grassy surface eating prey, with blood visible on its beak and scattered feathers on the ground.","A brown and white hawk stands on green grass, its beak and talons covered in blood as it consumes its prey.",
obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,Woodpecker pecking at dead wood.,A brown and white bird with a reddish head stands in sunlit green vegetation holding a dark object in its beak.,"A brown bird with a spiky reddish-brown crest stands in green bushes, holding a large crab in its beak.",
obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,A close-up photo of a leaf with insect eggs and larvae.,"A close-up view of a textured green leaf featuring clusters of small, white, cottony insects along its veins.","A close-up of a textured green leaf featuring several white, irregular clusters, resembling mealybugs or scale insects, among scattered debris.",
obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,Aphid on a leaf with honeydew crystals.,"A close-up view of a small, pale insect with translucent wings resting on a textured green leaf surrounded by white, waxy filaments.","An adult whitefly with translucent wings rests on a textured green leaf, surrounded by white waxy filaments and several smaller whitefly nymphs.",
obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,Small insect on a green leaf with a white background.,"A close-up of a small, round insect with a shiny black center and a white, fuzzy border resting on a textured green leaf.","A close-up view reveals a black scale insect with a white, waxy fringe and a tiny pink leg, positioned on a vibrant green leaf exhibiting a detailed network of veins.",
obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,"A close-up photo of a purple flowering in a garden setting, with the focus on the vibrant petals and some insects visible on the leaves.",A bee hovers near green leaves next to a cluster of bright purple flowers.,A close-up shot captures a bee resting on a green leaf next to several vibrant purple flowers.,
obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,"A bee is perched on top of a yellow flower with stamens, set against the backdrop of green foliage and plants.",A close-up shot of a bee resting on the yellow center of a white flower surrounded by green leaves.,"A fuzzy brown and black striped bee is seen from above, resting on a white flower with a bright yellow center, surrounded by green leaves and blurred branches.",
obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,Crane standing on a gravel road.,"A white egret stands on a gravel path beside tall grass, holding a small dark animal in its beak near a metal post.","A white egret stands on a gravel path, holding a dark creature in its beak, with green foliage and a white pole in the background.",
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,Black and white bird sitting on the ground.,A Barrow's Goldeneye swims on rippled water with its head tilted upward and beak open.,A male Bufflehead duck with a wide-open beak is swallowing a long fish while on the water.,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
