#,Image,prompt_01,prompt_01_score,prompt_02,prompt_02_score,prompt_03,prompt_03_score
11,obs_256022699_photo_458927175,"A pale, segmented millipede with many visible legs is tightly coiled around a sprig of green foliage, contrasting with a dark, blurry background.",1,"A pale, segmented larva is feeding on green plant leaves.",1,"A translucent, segmented arthropod curled around and feeding on green plant leaves.",1
12,obs_258568965_photo_463949088,"A macro shot reveals a rough, earthy surface with intricate textures, small holes, delicate webs, and shimmering iridescent reflections of blue, purple, and gold.",1,"A spider's web on a rough surface, trapping small particles as food.",0,"Translucent fungal mycelium appears to be feeding on a textured, granular surface.",1
13,obs_263836670_photo_474047112,"A grey gull with its beak wide open is in the process of swallowing a large, bumpy purple starfish.",0,A seagull swallowing a purple starfish.,1,A seagull swallowing a purple starfish.,1
14,obs_264953671_photo_475827468,"A vivid orange-red slug-like creature is wrapped around a brown moth on a green stem, appearing to consume it, against a blurry natural background.",1,A reddish-brown predatory flatworm is engulfing a moth on a green stem.,0,An orange slug is feeding on a brown moth on a green stem.,0
15,obs_291009479_photo_523542929,"A dark, segmented centipede crawls across a mossy forest floor, surrounded by vibrant green grass and scattered fallen leaves.",1,A millipede feeds on decaying matter on the forest floor.,0,A reddish-brown centipede feeds on a dark ant on mossy ground.,0
16,obs_302755190_photo_545634287,"A macro shot of a green leaf showing multiple light-colored, raised structures, including a prominent circular gall with a central opening.",1,White scale insects feeding on a green leaf.,1,Insect larvae feeding inside white galls on a green leaf.,1
17,obs_318344322_photo_575337712,"A small pile of light blue and dark shell fragments rests on coarse sand, with a 2019 U.S. penny in the upper right for scale.",1,Predatory snails drilled into these mollusk shell fragments.,1,This image does not depict any organisms feeding on others.,1
18,obs_318533969_photo_575706140,"A close-up shows a rough, brown growth on a woody branch at the point where several smaller branches diverge, with blurred green and yellow leaves and natural debris in the background.",1,An organism inside a brown gall is feeding on the tree branch.,1,A bark-mimicking insect feeds on a tree branch.,1
19,obs_319669394_photo_577875426,"A macro photo shows a green leaf speckled with numerous small, textured orange fungal growths.",1,Orange rust fungus is feeding on a green leaf.,1,Orange rust fungus feeds on a green leaf.,1
20,obs_321389820_photo_581234419,"A male common eider duck floats on dark water, holding a reddish-brown sea urchin in its open beak.",1,A male Common Eider duck eating a sea urchin.,1,"A male Eider duck on dark water, swallowing a sea urchin.",1
21,obs_323944435_photo_586236533,"A close-up shows a juniper branch with green foliage, several dusty blue berries, and two distinct, lumpy reddish-brown galls.",1,A brown parasitic gall feeds on a juniper branch with blue berries.,1,"An unseen organism feeds on a juniper branch, forming a brown gall.",1
22,obs_325267824_photo_588882003,"A close-up shows an orange ladybug with black markings on its head, standing over a light-colored, fuzzy parasitic wasp cocoon attached beneath its body, on a textured gray surface.",1,A ladybug feeds on mealybugs.,0,An orange ladybug feeds on a fuzzy brown object.,1
23,obs_325625055_photo_589595206,"A close-up of green leaves covered in numerous dark brown spots and browning edges, set against a blurred background of autumn foliage.",1,"A fungus is feeding on green leaves, causing numerous dark brown spots and browning edges.",1,"A leaf disease feeds on green leaves, creating numerous brown spots and some holes.",1
24,obs_326876805_photo_592092171,"A close-up of a yellow autumn leaf with a large, irregular black patch that has a distinct bumpy texture, typical of tar spot disease.",1,"A dark, bumpy fungal infection is feeding on a yellow autumn leaf.",1,A black fungal growth consumes a yellow leaf.,1
25,obs_327076113_photo_592488640,"A small, iridescent silvery-green fish is caught within the translucent, ring-like tentacles of a sea anemone against a murky, brown underwater background.",1,"A sea anemone feeds on a small, iridescent fish.",0,"A translucent sea anemone feeding on a small, iridescent fish.",1
26,obs_331752340_photo_601901044,"A close-up shows a green leaf with yellowed edges and many small dark brown spots, surrounded by blurred green and yellow leaves.",1,"A leaf disease is feeding on the green leaves, causing yellowing and dark brown spots.",1,"A fungal disease feeds on a green leaf, causing numerous dark spots.",1
27,obs_331831594_photo_602051260,"A vibrant yellow slug with visible eyestalks crawls over a light brown mushroom cap, which has a small dark twig resting on it, all surrounded by lush green moss.",1,A yellow slug feeds on a mushroom.,1,A yellow banana slug feeds on a light brown mushroom.,1
28,obs_332241462_photo_602909620,"An olive-brown slug feeds on a dead reddish-brown newt lying on sandy, gravelly ground.",1,A slug feeds on a deceased newt on sandy ground.,1,A large slug feeds on a dead salamander on gravelly ground.,1
29,obs_333144263_photo_501540234,"A detailed macro view shows vibrant yellow granular lichen, white crusty lichen, and light green lobed lichen with cup-like structures, growing closely together on a surface.",1,Bright yellow lichen appears to be feeding on and spreading over a pale lichen and green moss.,1,A close-up of various lichens shows no visible organism feeding on another.,1
30,obs_333664707_photo_605748155,"A translucent moon snail with an expansive white foot is seen next to a pale, frilly sea anemone, surrounded by pink branching coral and dark kelp on the ocean floor.",1,A translucent sea snail feeds on a white sea anemone amidst pink coral-like growth.,1,A translucent sea snail is feeding on a beige anemone.,1
31,obs_334025380_photo_606497684,"A macro shot reveals several tiny fungi with slender dark stalks and small light brown caps emerging from a textured, dried plant surface.",1,Small fungi feeding on a dried leaf.,1,"Small, light-brown fungi with thin dark stems feed on a textured, dried leaf.",1
32,obs_33435868_photo_52515163,"A dark, reflective sea cucumber, featuring a distinct bulge, rests partially submerged in shallow water over light-colored rocks and green algae.",1,"A dark, shiny ribbon worm feeds on a light-colored mollusk.",1,A dark sea cucumber feeds on a pale mass on the rocky seabed.,0
33,obs_334758419_photo_607987821,"A detailed close-up reveals intricate patterns of dark, cup-shaped lichens with pale rims, intertwined with light green leafy lichens and vibrant pink patches, all growing densely on textured tree bark.",1,Pinkish-red lichen parasite growing on grey-green lichens.,1,Pink growth feeding on grey-green lichens.,0
34,obs_336269939_photo_611037472,Multiple dark velvet worms with orange spots and stubby legs crawl among reddish-brown leaf litter and organic debris.,1,Velvet worms feeding on a woodlouse.,1,"A dark, spotted velvet worm feeds on a light-colored isopod amidst brown leaf litter.",1
35,obs_337063055_photo_612648507,"A large sea snail with a patterned brown and tan shell, revealing a reddish body, operculum, and striped foot, rests on a sandy seabed.",1,A red sea star is feeding on a conch inside its shell.,0,A reddish-purple sea star feeding on a conch.,1
36,obs_337600645_photo_614526508,"A black oystercatcher with a bright red beak and pink legs stands on a rocky shore among purple sea anemones, sea urchins, and various seaweeds.",1,A Black Oystercatcher feeds on a purple sea urchin.,1,A black bird with a pink beak feeds on purple sea urchins on a rocky shore.,1
37,obs_337606242_photo_613762919,"A person's hand holds a green leaf covered in numerous reddish-brown spots, with a slender stem and small buds visible on the right against a blurry green background.",1,Leaf rust is feeding on the green leaf.,1,A fungus feeding on a green leaf.,1
38,obs_337610708_photo_613769550,"A person's hand holds a green leaf covered in white, fuzzy patches of powdery mildew.",1,White powdery mildew feeds on a green leaf.,1,Powdery mildew feeds on a green leaf held in a human hand.,1
39,obs_337610714_photo_613769638,"A hand gently holds a green leaf with a textured surface and serrated edges, surrounded by other blurry green foliage.",1,"A pale, slug-like larva feeds on a textured green leaf.",0,"A tiny, pale larva feeds on a green leaf with chew marks.",0
40,obs_338007030_photo_614585734,A glistening grey snail with an extended body and brown shell crawls across a wet green leaf.,1,A brown-shelled snail feeds on a green leaf.,1,A close-up of a snail feeding on a green leaf with chewed edges.,1
41,obs_338486970_photo_615576074,"A large, elongated bivalve shell, half light brown and half dark, shiny black, rests on wet, dark sand with small water bubbles.",1,"A small bivalve is filter feeding while attached to a larger, tar-covered bivalve shell.",0,A clam feeding on plankton in shallow water.,0
42,obs_339993526_photo_618618071,"A white seagull is consuming a large brown starfish, with several of the starfish's arms still visible outside its yellow beak.",1,A seagull is eating a starfish.,1,A white bird swallows a brown starfish.,1
43,obs_340263466_photo_619175705,"A close-up shot captures the vibrant fuchsia, brush-like filaments of a flower head in sharp focus against a soft, blurred background.",1,"Tiny insects feed on the vibrant pink, brush-like flower.",0,No visible creature is feeding on the vibrant fuchsia flower.,0
44,obs_340271186_photo_619190124,"A small, green shrub with numerous buds grows alongside a cracked asphalt road and a concrete sidewalk with a yellow line, beneath a larger evergreen plant.",1,"A small green shrub covered in numerous galls, indicating insect feeding.",0,No feeding activity is visible in the image.,1
45,obs_340304697_photo_619256274,"A yellow and black spotted snail with a dark, fleshy body emerging from its shell is seen underwater in murky, sandy conditions, with a stick nearby.",1,"A dark mollusc feeds on a large, spotted snail underwater.",0,A large yellow and black patterned aquatic snail feeds on several small dark invertebrates.,0
46,obs_340326193_photo_619295159,"A close-up shot shows a leafy green plant whose foliage is heavily speckled with dark brown to black spots, indicating a common plant disease.",1,"Fungus feeds on a plant, creating dark spots on its green leaves.",1,"A plant disease feeds on the green leaves of a plant, creating numerous dark spots.",1
47,obs_340326194_photo_619295158,"A hand wearing a gold ring holds up a green leaf heavily covered in dark brown spots and with torn edges, against a blurry background of similar foliage.",1,"A green leaf with dark fungal spots and ragged edges, indicating it has been fed upon by disease and an insect.",1,Insects feeding on a green leaf.,0
48,obs_340337296_photo_536341964,A small brown and orange butterfly is perched on bright yellow flowers surrounded by green leaves.,1,An orange-brown butterfly sips nectar from yellow flowers.,1,An orange-brown skipper feeds on a yellow flower.,1
49,obs_340337865_photo_533753896,An orange butterfly is perched on vibrant purple flowers against a blurred green background.,1,An orange butterfly drinks nectar from purple flowers.,1,An orange skipper butterfly sips nectar from a cluster of purple flowers.,1
50,obs_340364592_photo_619375042,"A brown water strider with long, thin legs floats on the water's surface, holding a smaller, lighter-colored insect as prey in its front legs.",0,A water strider feeds on a bee on the water's surface.,1,A water strider feeds on a small insect on the water's surface.,1
51,obs_340368188_photo_619383348,"A close-up shows a large, fluffy, reddish-brown gall on a thorny branch, with a blurred background of green hills, trees, and blue sky.",1,"A brown, fuzzy insect gall hangs from a thorny plant stem.",1,"Gall wasp larvae feed inside a brown, spiky gall on a thorny branch.",1
52,obs_340433312_photo_619519266,"A wet, brown frog with dark markings sits on a bed of gravel and small rocks, surrounded by green grass blades and dry debris.",1,A larger frog is swallowing a smaller frog.,1,"A dark brown frog on gravel is swallowing a smaller, lighter-colored frog.",1
53,obs_340514309_photo_619678757,"A brown and white hawk with a sharp yellow eye and a reddish mark on its hooked beak is perched against a rough tree trunk, looking to the left.",1,"A hawk feeds on yellow prey, its beak stained red.",0,"A hawk feeds on its prey, holding a bone in its bloodied beak.",0
54,obs_340514310_photo_619679014,"A hawk with yellowish talons firmly grips a bloody squirrel, its prey, on a moss-covered tree branch.",1,"A hawk feeds on a squirrel, gripping it with its talons on a mossy branch.",1,A raptor feeds on a grey squirrel on a mossy tree branch.,1
55,obs_340542613_photo_619737737,"A brown and white hawk stands on green grass, its beak and talons covered in blood as it consumes its prey.",1,A hawk with a bloody beak feeds on a smaller bird.,1,"A hawk stands on green grass, feeding on a smaller bird with blood on its beak.",0
56,obs_340825934_photo_620308797,"A brown bird with a spiky reddish-brown crest stands in green bushes, holding a large crab in its beak.",0,A bird feeding on a crab.,0,A crested bird in green foliage feeds on a crab.,0
57,obs_340848497_photo_620354560,"A close-up of a textured green leaf featuring several white, irregular clusters, resembling mealybugs or scale insects, among scattered debris.",1,"White, fuzzy insects are feeding on a green leaf.",1,White scale insects feed on a green leaf.,1
58,obs_340848514_photo_620354575,"An adult whitefly with translucent wings rests on a textured green leaf, surrounded by white waxy filaments and several smaller whitefly nymphs.",1,"An adult whitefly and nymphs, surrounded by white waxy filaments, feed on a green leaf.",1,A whitefly and its nymphs feed on a green leaf.,1
59,obs_340848746_photo_620355031,"A close-up view reveals a black scale insect with a white, waxy fringe and a tiny pink leg, positioned on a vibrant green leaf exhibiting a detailed network of veins.",1,"A tiny pale insect feeds on a black, white-fringed insect on a green leaf.",0,"A small, pale insect feeds on a black scale insect on a green leaf.",1
60,obs_341060278_photo_547585371,A close-up shot captures a bee resting on a green leaf next to several vibrant purple flowers.,1,A bee feeds on a purple flower.,1,A blurry bee feeds on purple flowers.,0
61,obs_341067936_photo_620805844,"A fuzzy brown and black striped bee is seen from above, resting on a white flower with a bright yellow center, surrounded by green leaves and blurred branches.",0,A honeybee feeds on a yellow flower.,0,A bee feeds on a yellow flower.,1
62,obs_341194952_photo_621071156,"A white egret stands on a gravel path, holding a dark creature in its beak, with green foliage and a white pole in the background.",1,A Great Egret holds a dark rodent in its beak.,1,"A white egret stands on a gravel path, holding a dark, captured small animal in its beak.",1
63,obs_64497720_photo_103704678,A male Bufflehead duck with a wide-open beak is swallowing a long fish while on the water.,1,"A Bufflehead duck feeds on a large, segmented worm.",1,"A Bufflehead duck swallows a long, dark, ribbed aquatic invertebrate.",1
