Image_name,image_url,gemini-2.5-flash,gemini-3.5-flash,llava
obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,"A leaf disease feeds on green leaves, creating numerous brown spots and some holes.","A leaf spot fungus feeding on green leaves, leaving scattered dark brown spots and lesions across their surfaces.",Green moss feeding on a leaf with brown spots and black edges.
obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,A black fungal growth consumes a yellow leaf.,"A close-up of a black tar spot fungus feeding on a yellow maple leaf, creating a large, textured dark patch.",Fungus feeding on dead brown leaf.
obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,"A translucent sea anemone feeding on a small, iridescent fish.","A translucent sea anemone on a rocky underwater surface, gripping a small, iridescent silver fish with its tentacles to feed on it.",An aquatic fish with a silver body and a brown head is feeding on small green objects on rocks.
obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,"A fungal disease feeds on a green leaf, causing numerous dark spots.","A fungus feeds on a green leaf, causing numerous dark brown spots and yellowing.","The image shows a close-up of a plant with spotted leaves, which may be feeding on some kind of insect or parasite, but it is not possible to identify what is being fed upon in this description based on the available information."
obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,A yellow banana slug feeds on a light brown mushroom.,A bright yellow banana slug feeds on the cap of a brown mushroom growing in green moss.,An intricate honeycomb-like structure is growing out of an orange mushroom.
obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,A large slug feeds on a dead salamander on gravelly ground.,A large brown slug on sandy ground feeds on the carcass of a small newt.,Snail feeding on a coral reef.
obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,A close-up of various lichens shows no visible organism feeding on another.,Bright orange parasitic fungus clusters grow on and feed on the surface of a pale pink lichen.,Insects feed on moss on lichen covered rock.
obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,A translucent sea snail is feeding on a beige anemone.,"A shaggy white nudibranch perched on pink coralline algae feeds on a translucent, spotted sea anemone.",A red sea coral with long tentacles attached to a small white creature in an underwater environment.
obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,"Small, light-brown fungi with thin dark stems feed on a textured, dried leaf.","A close-up of tiny, thin-stemmed mushrooms growing out of and feeding on a decaying brown leaf.",Mushrooms growing on tree bark.
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,A dark sea cucumber feeds on a pale mass on the rocky seabed.,"A close-up of a patterned, translucent marine worm swallowing a smooth, dark brown worm on a wet, algae-covered rock.","Snail-like creature, possibly a slug or a snail, feeding on something that resembles mushrooms with white caps and brown stems."
obs_334758419_photo_607987821,https://inaturalist-open-data.s3.amazonaws.com/photos/607987821/medium.jpg,Pink growth feeding on grey-green lichens.,A close-up of a pink parasitic fungus feeding on grey cup lichen growing on tree bark.,"The image is of coral-like growth on a tree branch with red and pink areas. It depicts an up close view of a plant, possibly coral or algae, surrounded by some sort of pink and red substance."
obs_336269939_photo_611037472,https://inaturalist-open-data.s3.amazonaws.com/photos/611037472/medium.jpg,"A dark, spotted velvet worm feeds on a light-colored isopod amidst brown leaf litter.","Several blue-grey velvet worms with orange spots feed on a cricket among wet, fibrous brown bark.",Slug on a rotten log with wood chips.
obs_337063055_photo_612648507,https://inaturalist-open-data.s3.amazonaws.com/photos/612648507/medium.jpg,A reddish-purple sea star feeding on a conch.,"A Triton's trumpet snail on the seabed feeds on a red starfish, with the starfish's arms protruding from the opening of the snail's shell.",Unidentified shellfish feeding on algae underwater coral.
obs_337600645_photo_614526508,https://inaturalist-open-data.s3.amazonaws.com/photos/614526508/medium.jpg,A black bird with a pink beak feeds on purple sea urchins on a rocky shore.,"A black oystercatcher stands on a rocky shore, foraging among purple sea urchins.",A bird pecking at rocks along a beach shoreline.
obs_337606242_photo_613762919,https://inaturalist-open-data.s3.amazonaws.com/photos/613762919/medium.jpg,A fungus feeding on a green leaf.,A rust fungus infecting and feeding on the underside of a green leaf held in a human hand.,The hand of a person holding a leaf with spots.
obs_337610708_photo_613769550,https://inaturalist-open-data.s3.amazonaws.com/photos/613769550/medium.jpg,Powdery mildew feeds on a green leaf held in a human hand.,A white powdery mildew fungus feeding on a green leaf held in a person's hand.,Man holding a plant in his hand with some form of insect or disease afflicting it.
obs_337610714_photo_613769638,https://inaturalist-open-data.s3.amazonaws.com/photos/613769638/medium.jpg,"A tiny, pale larva feeds on a green leaf with chew marks.",A hand holds a green leaf showing small holes along its edge where insects have been feeding.,"Human hand holding a plant with leaves showing signs of pestilism or damage, possibly due to caterpillars or insects feeding on it."
obs_338007030_photo_614585734,https://inaturalist-open-data.s3.amazonaws.com/photos/614585734/medium.jpg,A close-up of a snail feeding on a green leaf with chewed edges.,A snail with a translucent grey body and a brown shell feeds on a green leaf.,Slug slithering down leafy branch.
obs_338486970_photo_615576074,https://inaturalist-open-data.s3.amazonaws.com/photos/615576074/medium.jpg,A clam feeding on plankton in shallow water.,"A bivalve clam shell, partially covered with a dark, peeling periostracum, rests on wet, bubbly sand.",Black clam shell with seaweed on sand.
obs_339993526_photo_618618071,https://inaturalist-open-data.s3.amazonaws.com/photos/618618071/medium.jpg,A white bird swallows a brown starfish.,A close-up of a white seagull swallowing a bumpy orange starfish with several of its arms protruding from the bird's open yellow beak.,An orange starfish with black spines is eating a small white fish.
obs_340263466_photo_619175705,https://inaturalist-open-data.s3.amazonaws.com/photos/619175705/medium.jpg,No visible creature is feeding on the vibrant fuchsia flower.,"A close-up, macro shot of a vibrant pink thistle flower head with sharp green bracts visible in the blurred background.",A bright red flower with tiny hairs at its base.
obs_340271186_photo_619190124,https://inaturalist-open-data.s3.amazonaws.com/photos/619190124/medium.jpg,No feeding activity is visible in the image.,A cluster of tiny brown aphids feeding on the stems and buds of a green leafy plant growing next to a sidewalk.,Small plant growing along sidewalk.
obs_340304697_photo_619256274,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,A large yellow and black patterned aquatic snail feeds on several small dark invertebrates.,"A yellow, black-spotted leech curled on a muddy underwater bed, feeding on a dark grey snail.",A small green and brown snail with a black head is crawling along a stick.
obs_340326193_photo_619295159,https://inaturalist-open-data.s3.amazonaws.com/photos/619295159/medium.jpg,"A plant disease feeds on the green leaves of a plant, creating numerous dark spots.","A leaf spot fungus feeds on the green leaves of a wild shrub, covering them in numerous dark spots.",No feeding action is apparent in this image.
obs_340326194_photo_619295158,https://inaturalist-open-data.s3.amazonaws.com/photos/619295158/medium.jpg,Insects feeding on a green leaf.,A black spot fungus feeding on a green leaf held in the palm of a hand.,Person's hand holding a leaf with insect spots on it.
obs_340337296_photo_536341964,https://inaturalist-open-data.s3.amazonaws.com/photos/536341964/medium.jpg,An orange-brown skipper feeds on a yellow flower.,An orange skipper butterfly perched on a bright yellow wildflower feeds on its nectar.,"A butterfly, resting on a wildflower."
obs_340337865_photo_533753896,https://inaturalist-open-data.s3.amazonaws.com/photos/533753896/medium.jpg,An orange skipper butterfly sips nectar from a cluster of purple flowers.,An orange skipper butterfly perched on a wire fence feeds on a purple wildflower.,Butterfly feeding on purple flowers.
obs_340364592_photo_619375042,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,A water strider feeds on a small insect on the water's surface.,"Two mating water striders float on the surface of calm water, with the bottom one feeding on a small insect held in its front legs.",Aquatic insect eats through a water body.
obs_340368188_photo_619383348,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,"Gall wasp larvae feed inside a brown, spiky gall on a thorny branch.","A fuzzy, brown Robin's pincushion gall, containing gall wasp larvae feeding on the host wild rose plant, hangs from a thorny twig.",Brown flowering off of tree branch.
obs_340433312_photo_619519266,https://inaturalist-open-data.s3.amazonaws.com/photos/619519266/medium.jpg,"A dark brown frog on gravel is swallowing a smaller, lighter-colored frog.","A shiny brown frog sitting on rocky ground, swallowing a spider with its legs protruding from the frog's mouth.",Frogs eating insects.
obs_340514309_photo_619678757,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,"A hawk feeds on its prey, holding a bone in its bloodied beak.",A brown and white hawk with a blood-stained beak perched next to a textured tree trunk after feeding.,Brown and white hawk perched on a tree trunk.
obs_340514310_photo_619679014,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,A raptor feeds on a grey squirrel on a mossy tree branch.,"A hawk perched on a mossy branch pins a captured, bloody squirrel under its sharp yellow talons.",Bird sitting on tree branch holding prey in beak.
obs_340542613_photo_619737737,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,"A hawk stands on green grass, feeding on a smaller bird with blood on its beak.","A brown and white streaked hawk stands on grassy ground, feeding on a small bird with bloody remains and grey feathers at its feet.",Brown and white hawk with red eye eating.
obs_340825934_photo_620308797,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,A crested bird in green foliage feeds on a crab.,"A crested, streaked brown bird stands in thick green grass, holding a small frog in its beak.","This is an image of a small bird with a red head and white underbelly feeding on a larger bird, possibly another kind of bird or a small mammal."
obs_340848497_photo_620354560,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,White scale insects feed on a green leaf.,"A cluster of tiny, spiky white mealybugs feeding on the underside of a textured green leaf.","The image shows a plant, possibly a flower or seed pod, with various stages of growth and decay happening around it."
obs_340848514_photo_620354575,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,A whitefly and its nymphs feed on a green leaf.,"A tiny whitefly with translucent wings feeds on the sap of a green leaf surrounded by white, thread-like waxy secretions.",An insect is feeding on a leaf with a lot of bugs on it.
obs_340848746_photo_620355031,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,"A small, pale insect feeds on a black scale insect on a green leaf.",A tiny pink mite feeds on a shiny black scale insect with a white fringe on a green leaf.,"A small caterpillar on a leafy stem, about to be eaten by a ladybug."
obs_341060278_photo_547585371,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,A blurry bee feeds on purple flowers.,A fuzzy honeybee in flight approaches bright purple fireweed flowers to feed on nectar.,Small bee hovering near purple flowers.
obs_341067936_photo_620805844,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,A bee feeds on a yellow flower.,"A honeybee feeds on the nectar of a pale yellow flower with prominent stamens, surrounded by green leaves.",A bee feeding on nectar from a flower.
obs_341194952_photo_621071156,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,"A white egret stands on a gravel path, holding a dark, captured small animal in its beak.","A white egret stands on a gravel path, holding a captured dark rodent in its long yellow beak.","Black and white heron standing on gravel, near street sign, with its head down to eat something it caught in the water."
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,"A Bufflehead duck swallows a long, dark, ribbed aquatic invertebrate.","A black-and-white hooded merganser swimming in calm water, swallowing a small, patterned snake.",A penguin with an open beak is swimming through water.
